Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
37,1.0,0.0,0.0,1178.0,17.0,66.0,2983.0,0.1,-46.90040796615283,0.0,0.0,573.5865857601166,,,,,,,,,,,,,,,,,,,,,-23.48753454152618,12.615721308028126,-1.2810958689327598,-45.44106738010493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1203.0,18.0,25.0,3008.0,0.1,-7.814121352377665,0.0,0.0,576.3207559585571,,,,,,,,,,,,,,,,,,,,,-6.892004540010509,2.1533907451598875,-1.0793399403383526,-10.088004961903525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1370.0,19.0,167.0,3175.0,0.1,-159.76388336236542,0.0,0.0,593.4534268379211,,,,,,,,,,,,,,,,,,,,,-95.51959754894881,40.55068517434139,-1.8365315932652853,-146.55699733433138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1397.0,20.0,27.0,3202.0,0.1,-11.466744220582893,0.0,0.0,596.4600312709808,,,,,,,,,,,,,,,,,,,,,-7.304527363233391,2.4507169834053877,-1.076610920127386,-11.292094879439588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,54.0,1.0,54.0,3256.0,0.1,-46.42858226114757,0.0,0.0,819.3285138607025,,,,,,,,,,,,,,,,,,,,,-26.816697017137038,12.905957011432758,-1.2266043323798643,-45.070576705055586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,106.0,2.0,52.0,3308.0,0.1,-24.13758215399793,0.0,0.0,824.9941186904907,,,,,,,,,,,,,,,,,,,,,-18.997523535552453,7.343003016046436,-1.2114641168157023,-27.36228101907753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,201.0,3.0,95.0,3403.0,0.1,-68.1268439327367,0.0,0.0,834.934246301651,,,,,,,,,,,,,,,,,,,,,-40.333470472721864,19.179189909139943,-1.4245290755534454,-66.61969913383308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,269.0,4.0,68.0,3471.0,0.1,-48.330393937366516,0.0,0.0,842.1037421226501,,,,,,,,,,,,,,,,,,,,,-25.788009898861265,12.703892055397384,-1.2987198907549746,-46.67010279974065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,338.0,5.0,69.0,3540.0,0.1,-55.573639500725065,0.0,0.0,849.1362507343292,,,,,,,,,,,,,,,,,,,,,-30.195585675322736,15.572701581610591,-1.3093557336148594,-54.423131915706136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,360.0,6.0,22.0,3562.0,0.1,-8.02185356535533,0.0,0.0,851.5544002056122,,,,,,,,,,,,,,,,,,,,,-7.2174355829705,2.554885786286144,-1.071334695037532,-10.347630021705923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,454.0,7.0,94.0,3656.0,0.1,-62.401767980417695,0.0,0.0,861.0673453807831,,,,,,,,,,,,,,,,,,,,,-36.05096163768373,15.968245775787498,-1.4307466338260881,-59.13118081692849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,492.0,8.0,38.0,3694.0,0.1,-17.550597277051914,0.0,0.0,865.0699388980865,,,,,,,,,,,,,,,,,,,,,-14.905889856241048,6.154648167283551,-1.1174111311165853,-21.85623851686172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,516.0,9.0,24.0,3718.0,0.1,-2.9745224533540155,0.0,0.0,867.7521913051605,,,,,,,,,,,,,,,,,,,,,-6.348845600797785,2.755427499716609,-1.0768317585690317,-10.826555321264419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,545.0,10.0,29.0,3747.0,0.1,-23.14859742668513,0.0,0.0,871.0009400844574,,,,,,,,,,,,,,,,,,,,,-13.311039380874448,6.386755367247676,-1.0867173045657939,-22.808170818105165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,697.0,11.0,152.0,3899.0,0.1,-147.20636048169808,0.0,0.0,886.0304136276245,,,,,,,,,,,,,,,,,,,,,-81.69167336570872,37.285758853918274,-1.760743196531792,-135.05920948988077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,755.0,12.0,58.0,3957.0,0.1,-40.25235394011791,0.0,0.0,891.9870007038116,,,,,,,,,,,,,,,,,,,,,-22.719919794045598,9.783956338441161,-1.2393184099013774,-39.01258474897646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,797.0,13.0,42.0,3999.0,0.1,-30.425151135583153,0.0,0.0,896.5683312416077,,,,,,,,,,,,,,,,,,,,,-17.32223857694605,7.8007075648998265,-1.166566274559053,-29.7571015613726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,848.0,14.0,51.0,4050.0,0.1,-33.63310757966837,0.0,0.0,901.9282925128937,,,,,,,,,,,,,,,,,,,,,-17.953703761493806,8.936012386419007,-1.2089356806073903,-32.78300190864756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,882.0,15.0,34.0,4084.0,0.1,-20.094227687901014,0.0,0.0,905.5301389694214,,,,,,,,,,,,,,,,,,,,,-12.963499330170356,5.13603964548962,-1.1069648504652574,-19.692834687214972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1009.0,16.0,127.0,4211.0,0.1,-95.87466857605801,0.0,0.0,918.5823841094971,,,,,,,,,,,,,,,,,,,,,-53.23885108229264,26.066390211710885,-1.611102809626055,-90.41847910597295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
